ATK sifra;Oznaka;Nezasticeno ime lijeka;DDD i jed mj;Cijena u kn za DDD;Cijena u kn za DDD s PDV-om;Nacin primjene;Nositelj odobrenja;Proizvodac;Zasticeno ime lijeka;Oblik, jacina i pakiranje lijeka;Cijena u kn za jed obl;Cijena u kn za jed obl s PDV-om;Cijena u kn za orig pak;Cijena u kn za orig pak s PDV-om;R;Oznaka indikacije;Oznaka smjernice;Sifra grupe;Grupa;Sifra podgrupe;Podgrupa;Lista
A01AA01 151;;natrij-fluorid;1.1 mg;;;O;;;;;;;;;;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A01;Stomatološki lijekovi, lijekovi za liječenje bolesti usne šupljine;osnovna
A01AB12 451;DS;heksetidin;;;;O;;;;;;;;;;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A01;Stomatološki lijekovi, lijekovi za liječenje bolesti usne šupljine;osnovna
A01AD11 261;DS;polivinil-pirolidon + natrij-hijalurat + gliciretinična kiselina;;;;L;Helsinn Birex Pharmaceuticals Ltd.;Helsinn Birex Pharmaceuticals;Gelclair;gel oralni konc., vreć. 3x15 ml;21.37;22.44;64.1;67.31;;NA101;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A01;Stomatološki lijekovi, lijekovi za liječenje bolesti usne šupljine;osnovna
A01AD11 262;DS;polivinil-pirolidon + natrij-hijalurat + gliciretinična kiselina;;;;L;Helsinn Birex Pharmaceuticals Ltd.;Helsinn Birex Pharmaceuticals;Gelclair;gel oralni konc., vreć. 21x15 ml;19.55;20.53;410.55;431.08;;NA101;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A01;Stomatološki lijekovi, lijekovi za liječenje bolesti usne šupljine;osnovna
A01AD11 263;;polivinil-pirolidon + natrij-hijalurat + gliciretinična kiselina;;;;L;Helsinn Birex Pharmaceuticals Ltd.;Helsinn Birex Pharmaceuticals;Gelclair;gel oralni konc., boč. 1x180 ml;226.65;237.98;226.65;237.98;RS;NA101;RA01;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A01;Stomatološki lijekovi, lijekovi za liječenje bolesti usne šupljine;osnovna
A02BA02 051;DS;ranitidin;0.3 g;;;P;;;;;;;;;;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 101;;ranitidin;0.3 g;2.03;2.13;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Peptoran;tbl. 20x150 mg;1.02;1.07;20.33;21.35;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 111;;ranitidin;0.3 g;2.03;2.13;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Ranix;tbl. film obl. 20x150 mg;1.02;1.07;20.33;21.35;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 113;;ranitidin;0.3 g;2.03;2.14;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Ranix;tbl. film obl. 30x150 mg;1.02;1.07;30.5;32.03;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 114;;ranitidin;0.3 g;1.81;1.9;O;Jadran - Galenski Laboratorij d.d.;JGL d.d.;Ranix;tbl. film obl. 30x300 mg;1.81;1.9;54.2;56.91;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 115;;ranitidin;0.3 g;2.03;2.13;O;Sandoz d.o.o.;Sandoz-Lek;Ranital;tbl. film obl. 20x150 mg;1.02;1.07;20.33;21.35;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 116;;ranitidin;0.3 g;1.81;1.9;O;Sandoz d.o.o.;Sandoz-Lek;Ranital;tbl. film obl. 30x300 mg;1.81;1.9;54.2;56.91;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 117;;ranitidin;0.3 g;2.03;2.14;O;Sandoz d.o.o.;Sandoz-Lek;Ranital;tbl. film obl. 30x150 mg;1.02;1.07;30.5;32.03;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 118;;ranitidin;0.3 g;2.03;2.13;O;Farmal d.d.;Farmal d.d.;Rantin;tbl. film obl. 20x150 mg;1.02;1.07;20.33;21.35;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
A02BA02 119;;ranitidin;0.3 g;1.81;1.9;O;Farmal d.d.;Farmal d.d.;Rantin;tbl. film obl. 30x300 mg;1.81;1.9;54.2;56.91;R;;;A;Lijekovi s djelovanjem na probavni sustav i mijenu tvari;A02;Antacidi, lijekovi za liječenje ulkusne bolesti, lijekovi s djelovanjem na peristaltiku;osnovna
