"Sifra";"Naziv";"Nositelj";"Vrsta ustanove nositelja";"Izvodjac";"Mjesto Izvodjenja";"Tip SP";"Vrsta SP";"Trajanje";"ECTS";"PPG";"Akademski stupanj"
1;"Klasična harmonika";"Sveučilište Jurja Dobrile u Puli";"Javno";"Sveučilište Jurja Dobrile u Puli";"PULA";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea)muzike"
2;"Kiparstvo";"Sveučilište u Splitu";"Javno";"Umjetnička akademija, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) kiparstva "
3;"Elektrotehnika";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike"
3;"Elektrotehnika";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike"
4;"Elektrotehnika i informacijska tehnologija";"Sveučilište u Splitu";"Javno";"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike i informacijske tehnologije"
5;"Strojarstvo";"Sveučilište u Splitu";"Javno";"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.11.  TEHNIČKE ZNANOSTI / Strojarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka strojarstva"
6;"Tehnologija i organizacija prometa";"Sveučilište u Rijeci";"Javno";"Pomorski fakultet, Rijeka";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka prometa"
10;"Logopedija";"Sveučilište u Zagrebu";"Javno";"Edukacijsko-rehabilitacijski fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.09.  DRUŠTVENE ZNANOSTI / Logopedija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) logopedije"
11;"Socijalna pedagogija";"Sveučilište u Zagrebu";"Javno";"Edukacijsko-rehabilitacijski fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.08.  DRUŠTVENE ZNANOSTI / Edukacijsko-rehabilitacijske znanosti";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) socijalne pedagogije"
12;"Rehabilitacija";"Sveučilište u Zagrebu";"Javno";"Edukacijsko-rehabilitacijski fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.08.  DRUŠTVENE ZNANOSTI / Edukacijsko-rehabilitacijske znanosti";"sveučilišni/a prvopristupnik/ prvostupnica (baccalaureus/ baccalaurea) edukacijske rehabilitacije"
13;"Kineziologija";"Sveučilište u Splitu";"Javno";"Kineziološki fakultet, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.10.  DRUŠTVENE ZNANOSTI / Kineziologija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kineziologije"
16;"Elektroničke i informatičke tehnologije u pomorstvu";"Sveučilište u Rijeci";"Javno";"Pomorski fakultet, Rijeka";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektroničke i informatičke tehnologije"
17;"Primijenjena umjetnost";"Sveučilište u Rijeci";"Javno";"Akademija primijenjenih umjetnosti, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea)primijenjene umjetnosti"
18;"Poduzetništvo";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Ekonomski fakultet, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.01.  DRUŠTVENE ZNANOSTI / Ekonomija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije"
