Lokacija;Broj mikrolokacija;Godina;;
Martiæeva - Šubiæeva;1;2011;45.81288884038857;15.99662494871825
Martiæeva - Šubiæeva;2;2011;45.81273180133441;15.995906116702258
Šubiæeva 1;1;2011;45.81425409895741;15.997068245013451
Šubiæeva 1;2;2011;45.814284010374735;15.996746379931664
Šubiæeva 2;1;2011;45.81323710120981;15.995984632571435
Šubiæeva 2;2;2011;45.813027717015174;15.995426733096337
Trg Eugena Kvaternika;1;2012;45.81449981130139 ;15.997471464418026
Trg Eugena Kvaternika;2;2012;45.81444746651341;15.997058404229733
Trg Eugena Kvaternika;3;2012;45.81472040665309;15.996318114541623
Vjekoslava Heinzela 1;1;2012;45.81406235691773;15.997664583467099
Vjekoslava Heinzela 1;2;2012;45.81425678151247;15.99787916018829
Vjekoslava Heinzela 2;1;2012;45.813456645175115;15.99839950873718
Vjekoslava Heinzela 2;2;2012;45.81364733291573;15.99815810992584
Martiæeva - Smièiklasova;1;2012;45.812078743277055;15.983968247607435
Martiæeva - Smièiklasova;2;2012;45.812190915390595;15.98562048836061
Trg hrvatskih Velikana;1;2012;45.81199648358365;15.983726848796095
Trg hrvatskih Velikana;2;2012;45.812134829362115;15.983485449984755
Ulica grada Vukovara 58;1;2012;45.7994052;15.965891899999974 
Ulica grada Vukovara 58;2;2012;45.79944;15.966443799999979
Ulica grada Vukovara - Ivana Luèiæa;1;2012;45.79850015237508;15.970269106082128
Ulica grada Vukovara - Ivana Luèiæa;2;2012;45.799829080546544;15.970199803704872
Ulica grada Vukovara - Ivana Luèiæa;3;2012;45.79985899971067;15.972109536523476
Sesvete - Ninska;1;2012;45.826711663690006;16.110749737573314
Sesvete - Ninska;2;2012;45.8253808871379;16.109966532540966
Sesvete - Ninska;3;2012;45.8261587;16.106952099999944
Sesvete - Varaždinska;1;2012;45.8276531;16.112139100000036
Sesvete - Varaždinska;2;2012;45.82715220192999;16.111441725656163
Trg Vlatka Maèeka - Republike Austrije;1;2012;45.81094577323409 ;15.957297242327854 
Trg Vlatka Maèeka - Republike Austrije;2;2012;45.81078872870104;15.958026803179905 
Britanski trg;1;2012;45.813330198217116;15.964575133729567 
Britanski trg;2;2012;45.81305351225529;15.964950642991652
Britanski trg;3;2012;45.81359566588837;15.964194260049453 
Braèunova ulica - Ilica;1;2012;45.814720594313265;15.936265829638614
Braèunova ulica - Ilica;2;2012;45.815004749748766;15.934806707934512
Braèunova ulica - Ilica;3;2012;45.81616378979576;15.934822801188602
Ilica - Zagrebaèka;1;2012;45.8140692;15.93063440000003 
Ilica - Zagrebaèka;2;2012;45.8147175;15.933689700000059 
Barèev trg - 1;1;2012;45.77781716333137;15.996793411114481
Barèev trg - 1;2;2012;45.77760764600921;15.9968148687866
Barèev trg - 1;3;2012;45.77732329981283;15.9968148687866 
Barèev trg - 2;1;2012;45.77632059375911;15.99683632645872
Barèev trg - 2;2;2012;45.77614100271132;15.996278426983622
Barèev trg - 2;3;2012;45.7771586776679;15.995420120098856 
Hrvoja Macanoviæa;1;2012;45.7892032;15.929135900000005
Hrvoja Macanoviæa;2;2012;45.78946130147062 ;15.929677706221014 
Pakoštanska;1;2012;45.79042484052783;15.928064403704866
Pakoštanska;2;2012;45.78952934058792;15.92811679021304
Ðorðiæeva;1;2012;45.8108344;15.984580199999982  
Ðorðiæeva;2;2012;45.81085309578565;15.98513273505705
Trg maršala Tita;1;2012;45.810172743018434;15.970068269975286 
Trg maršala Tita;2;2012;45.80900983900272;15.970052176721196
Trg maršala Tita;2;2012;45.809024796121676;15.971012407548528
Lastovska - Zinke Kunc;1;2012;45.79371161566948;15.99718856204072
Lastovska - Zinke Kunc;2;2012;45.79423899647721;15.99718856204072
Lastovska - Zinke Kunc;3;2012;45.794321282394264;15.996158593779 
Trakošæanska - Krapinska;1;2012;45.799991026285596;15.953618938098088
Trakošæanska - Krapinska;2;2012;45.80005834418663;15.953989082942143
Zvornièka;1;2012;45.798398;15.952976900000067
Zvornièka;2;2012;45.798749558193066;15.954495030302496
Zvornièka;3;2012;45.79812497987314;15.95440383519599 
Bakaèeva - Kaptol;1;2012;45.81402682146302;15.978680425795119
Bakaèeva - Kaptol;2;2012;45.81482694960844;15.978578501852553
Bakaèeva - Kaptol;3;2012;45.81564949926929;15.978696519049208
Trg bana Josipa Jelaèiæa - 1;1;2012;45.81286005608907;15.978127901327525
Trg bana Josipa Jelaèiæa - 1;2;2012;45.813084396942855;15.97851413942567
Trg Petra Preradoviæa;1;2012;45.81239983536805;15.974373769311569
Trg Petra Preradoviæa;2;2012;45.81233253237955;15.974395226983688
Gunduliæeva;1;2012;45.812883056082875 ;15.97191791349178   
Hrvatske bratske zajednice;1;2012;45.79850027967126;15.979594958721918
Hrvatske bratske zajednice;2;2012;45.7975062;15.980378900000005
Savska cesta - okretište;1;2012;45.78643230796887;15.9531561153442 
Savska cesta - okretište;2;2012;45.7860121;15.952851499999951
Savska cesta - okretište;3;2012;45.78586994851314;15.952765669311475 
Ilica - Gunduliæeva - Britanski trg;1;2014;45.81331498684686;15.968720800000028 
Ilica - Gunduliæeva - Britanski trg;2;2014;45.8132536;15.971846700000014
Ilica - Gunduliæeva - Britanski trg;3;2014;45.813053;15.966611999999941
Ilica - Krajiška - Slovenska;1;2014;45.8125508;15.952665700000011
Ilica - Krajiška - Slovenska;2;2014;45.8132674;15.956335699999954
Ilica - Krajiška - Slovenska;3;2014;45.812885;15.9605325
Ilica - Vodovodna - Selska;1;2014;45.8123666;15.948927599999933
Ilica - Vodovodna - Selska;2;2014;45.81262659999999;15.945027100000061
Ilica - Vodovodna - Selska;3;2014;45.8132579;15.942590900000027
Trg Ante Starèeviæa - Petrinjska;1;2014;45.804883512847795 ;15.977941384655764
Trg Ante Starèeviæa - Petrinjska;2;2014;45.80519015569773;15.980172982556155
Vlaška;1;2014;45.81385293373512;15.993237315344231
Vlaška;2;2014;45.81370168966512;15.988507130688503
