_id,Adress,Number_of_microlocations,Year,Longitude,Latitude
1,Martićeva - Šubićeva,1,2011,15.9966249487183,45.8128888403886
2,Martićeva - Šubićeva,2,2011,15.9959061167023,45.8127318013344
3,Šubićeva 1,1,2011,15.9970682450135,45.8142540989574
4,Šubićeva 1,2,2011,15.9967463799317,45.8142840103747
5,Šubićeva 2,1,2011,15.9959846325714,45.8132371012098
6,Šubićeva 2,2,2011,15.9954267330963,45.8130277170152
7,Trg Eugena Kvaternika,1,2012,15.997471464418,45.8144998113014
8,Trg Eugena Kvaternika,2,2012,15.9970584042297,45.8144474665134
9,Trg Eugena Kvaternika,3,2012,15.9963181145416,45.8147204066531
10,Vjekoslava Heinzela 1,1,2012,15.9976645834671,45.8140623569177
11,Vjekoslava Heinzela 1,2,2012,15.9978791601883,45.8142567815125
12,Vjekoslava Heinzela 2,1,2012,15.9983995087372,45.8134566451751
13,Vjekoslava Heinzela 2,2,2012,15.9981581099258,45.8136473329157
14,Martićeva - Smičiklasova,1,2012,15.9839682476074,45.8120787432771
15,Martićeva - Smičiklasova,2,2012,15.9856204883606,45.8121909153906
16,Trg hrvatskih Velikana,1,2012,15.9837268487961,45.8119964835837
17,Trg hrvatskih Velikana,2,2012,15.9834854499848,45.8121348293621
18,Ulica grada Vukovara 58,1,2012,15.9658919,45.7994052
19,Ulica grada Vukovara 58,2,2012,15.9664438,45.79944
20,Ulica grada Vukovara - Ivana Lučića,1,2012,15.9702691060821,45.7985001523751
21,Ulica grada Vukovara - Ivana Lučića,2,2012,15.9701998037049,45.7998290805466
22,Ulica grada Vukovara - Ivana Lučića,3,2012,15.9721095365235,45.7998589997107
23,Sesvete - Ninska,1,2012,16.1107497375733,45.82671166369
24,Sesvete - Ninska,2,2012,16.109966532541,45.8253808871379
25,Sesvete - Ninska,3,2012,16.1069520999999,45.8261587
26,Sesvete - Varaždinska,1,2012,16.1121391,45.8276531
27,Sesvete - Varaždinska,2,2012,16.1114417256562,45.82715220193
28,Trg Vlatka Mačeka - Republike Austrije,1,2012,15.9572972423279,45.8109457732341
29,Trg Vlatka Mačeka - Republike Austrije,2,2012,15.9580268031799,45.810788728701
30,Britanski trg,1,2012,15.9645751337296,45.8133301982171
31,Britanski trg,2,2012,15.9649506429917,45.8130535122553
32,Britanski trg,3,2012,15.9641942600495,45.8135956658884
33,Bračunova ulica - Ilica,1,2012,15.9362658296386,45.8147205943133
34,Bračunova ulica - Ilica,2,2012,15.9348067079345,45.8150047497488
35,Bračunova ulica - Ilica,3,2012,15.9348228011886,45.8161637897958
36,Ilica - Zagrebačka,1,2012,15.9306344,45.8140692
37,Ilica - Zagrebačka,2,2012,15.9336897000001,45.8147175
38,Barčev trg - 1,1,2012,15.9967934111145,45.7778171633314
39,Barčev trg - 1,2,2012,15.9968148687866,45.7776076460092
40,Barčev trg - 1,3,2012,15.9968148687866,45.7773232998128
41,Barčev trg - 2,1,2012,15.9968363264587,45.7763205937591
42,Barčev trg - 2,2,2012,15.9962784269836,45.7761410027113
43,Barčev trg - 2,3,2012,15.9954201200989,45.7771586776679
44,Hrvoja Macanovića,1,2012,15.9291359,45.7892032
45,Hrvoja Macanovića,2,2012,15.929677706221,45.7894613014706
46,Pakoštanska,1,2012,15.9280644037049,45.7904248405278
47,Pakoštanska,2,2012,15.928116790213,45.7895293405879
48,Đorđićeva,1,2012,15.9845802,45.8108344
49,Đorđićeva,2,2012,15.9851327350571,45.8108530957857
50,Trg maršala Tita,1,2012,15.9700682699753,45.8101727430184
51,Trg maršala Tita,2,2012,15.9700521767212,45.8090098390027
52,Trg maršala Tita,2,2012,15.9710124075485,45.8090247961217
53,Lastovska - Zinke Kunc,1,2012,15.9971885620407,45.7937116156695
54,Lastovska - Zinke Kunc,2,2012,15.9971885620407,45.7942389964772
55,Lastovska - Zinke Kunc,3,2012,15.996158593779,45.7943212823943
56,Trakošćanska - Krapinska,1,2012,15.9536189380981,45.7999910262856
57,Trakošćanska - Krapinska,2,2012,15.9539890829421,45.8000583441866
58,Zvornička,1,2012,15.9529769000001,45.798398
59,Zvornička,2,2012,15.9544950303025,45.7987495581931
60,Zvornička,3,2012,15.954403835196,45.7981249798731
61,Bakačeva - Kaptol,1,2012,15.9786804257951,45.814026821463
62,Bakačeva - Kaptol,2,2012,15.9785785018526,45.8148269496084
63,Bakačeva - Kaptol,3,2012,15.9786965190492,45.8156494992693
64,Trg bana Josipa Jelačića - 1,1,2012,15.9781279013275,45.8128600560891
65,Trg bana Josipa Jelačića - 1,2,2012,15.9785141394257,45.8130843969429
66,Trg Petra Preradovića,1,2012,15.9743737693116,45.8123998353681
67,Trg Petra Preradovića,2,2012,15.9743952269837,45.8123325323796
68,Gundulićeva,1,2012,15.9719179134918,45.8128830560829
69,Hrvatske bratske zajednice,1,2012,15.9795949587219,45.7985002796713
70,Hrvatske bratske zajednice,2,2012,15.9803789,45.7975062
71,Savska cesta - okretište,1,2012,15.9531561153442,45.7864323079689
72,Savska cesta - okretište,2,2012,15.9528515,45.7860121
73,Savska cesta - okretište,3,2012,15.9527656693115,45.7858699485131
74,Ilica - Gundulićeva - Britanski trg,1,2014,15.9687208,45.8133149868469
75,Ilica - Gundulićeva - Britanski trg,2,2014,15.9718467,45.8132536
76,Ilica - Gundulićeva - Britanski trg,3,2014,15.9666119999999,45.813053
77,Ilica - Krajiška - Slovenska,1,2014,15.9526657,45.8125508
78,Ilica - Krajiška - Slovenska,2,2014,15.9563357,45.8132674
79,Ilica - Krajiška - Slovenska,3,2014,15.9605325,45.812885
80,Ilica - Vodovodna - Selska,1,2014,15.9489275999999,45.8123666
81,Ilica - Vodovodna - Selska,2,2014,15.9450271000001,45.8126266
82,Ilica - Vodovodna - Selska,3,2014,15.9425909,45.8132579
83,Trg Ante Starčevića - Petrinjska,1,2014,15.9779413846558,45.8048835128478
84,Trg Ante Starčevića - Petrinjska,2,2014,15.9801729825562,45.8051901556977
85,Vlaška,1,2014,15.9932373153442,45.8138529337351
86,Vlaška,2,2014,15.9885071306885,45.8137016896651
87,Vlaška,3,2014,15.9855252,45.8136749
88,Vjekoslava Klaića,1,2014,15.9609453423279,45.80929520826
89,Vjekoslava Klaića,2,2014,15.9640657693116,45.8091060507225
90,Vjekoslava Klaića,3,2014,15.9667715650818,45.8089518575643
91,Trg Nikole Zrinskog,1,2014,15.9781236084594,45.8114590785969
92,Trg Nikole Zrinskog,2,2014,15.9774369629516,45.810696293747
93,Trg Nikole Zrinskog,3,2014,15.9789819153442,45.8096642740869
94,Sesvete - Sopnica - Jelkovec,1,2014,16.1025158010498,45.8121059212821
95,Sesvete - Sopnica - Jelkovec,2,2014,16.1012712560669,45.8121507901327
96,Andrije Hebranga - Petrinjska,1,2015,15.9748883962952,45.8090223
97,Andrije Hebranga - Petrinjska,2,2015,15.978023641803,45.80935801341
98,Andrije Hebranga - Petrinjska,3,2015,15.9800621206543,45.8094926264946
99,Baruna Trenka,1,2015,15.977973028064,45.807706147463
100,Trg bana Josipa Jelačića - 2,1,2015,15.9764005587219,45.8132264790161
101,Trg bana Josipa Jelačića - 2,2,2015,15.9763361857056,45.8134059505907
102,Branimirova - Palmotićeva - Draškovićeva,1,2015,15.9822933632295,45.8053633277521
103,Branimirova - Palmotićeva - Draškovićeva,2,2015,15.9840421635072,45.8052361837559
104,Europski trg - Palmotićeva,1,2015,15.9815653153443,45.812354276346
105,Europski trg - Palmotićeva,2,2015,15.9797521420502,45.8132890324306
106,Maksimirska - 1,1,2015,15.9975348190491,45.8152842
107,Maksimirska - 1,2,2015,16.0028885082428,45.8163086379453
108,Maksimirska - 2,1,2015,16.0072821730164,45.8173998420621
109,Maksimirska - 2,2,2015,16.0126036757019,45.8184803207814
110,Savska cesta - Ulica grada Vukovara,1,2015,15.9629343571473,45.7996339069416
111,Savska cesta - Ulica grada Vukovara,2,2015,15.961614710312,45.7991701562188
112,Trg Luke Botića - AK,1,2015,15.9938133767212,45.8034217589763
113,Trg Luke Botića - AK,2,2015,15.9942318013275,45.803698492786
114,Trg Stjepana Radića - Hrvatske bratske zajednice,1,2015,15.9793115695893,45.8005011196381
115,Trg Stjepana Radića - Hrvatske bratske zajednice,2,2015,15.9784532627045,45.799812982729
116,Prilaz Gjure Deželića,1,2015,15.9608046828033,45.810693676259
117,Prilaz Gjure Deželića,2,2015,15.9639106808426,45.8106301103803
