Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
HRVATSKI TELEKOM D.D.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,3653,841.265.804,12.274.045.213,6.265.933.192
VIPNET D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,1362,56.084.658,898.969.544,3.182.633.718
VIPNET USLUGE D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,72,51.994.178,358.475.768,130.827.093
HEWLETT PACKARD D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,69,36.063.456,52.176.975,121.008.923
MERCURY PROCESSING SERVICES INTERNATIONAL D.O.O.,ZAGREB - TRNJE,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",210,34.306.192,312.734.095,255.696.633
ODAŠILJAČI I VEZE D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,291,31.249.205,326.604.784,221.542.985
MANAS D.O.O.,SPLIT,6201,Računalno programiranje,82,25.859.632,80.779.445,49.911.938
CROZ D.O.O.,ZAGREB,6201,Računalno programiranje,175,25.126.259,34.347.696,128.712.120
KING ICT D.O.O.,ZAGREB,6201,Računalno programiranje,308,23.426.751,98.036.621,625.785.704
COMBIS D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,366,22.335.226,157.072.961,644.982.348
ASSECO SEE D.O.O.,ZAGREB,6201,Računalno programiranje,238,19.861.055,21.684.704,167.863.153
COMPING KOMPJUTORSKI INŽENJERING D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,87,15.515.029,24.617.952,206.750.517
ERSTE GROUP CARD PROCESSOR D.O.O.,ZAGREB,6201,Računalno programiranje,123,14.899.716,130.628.037,102.028.202
SEDAM IT D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,95,14.855.541,20.775.530,119.589.192
TAU ON-LINE D.O.O.,ZAGREB,6201,Računalno programiranje,53,13.587.552,13.947.552,35.342.707
TERMINALNI POSLOVI D.O.O.,ŠKRLJEVO,6201,Računalno programiranje,13,13.221.674,17.841.674,21.650.111
