Society,Violent_deaths,Type
The Waorani (Ecuadorian Amazon),56,Non-state society
Blackfoot tribe (Plain Indians),50,Non-state society
Achuar,42,Non-state society
Arawete,35,Non-state society
Kayapo,35,Non-state society
Enga (Papua New Guinea),34.8,Non-state society
Gebusi (Papua New Guinea),35.2,Non-state society
Jivaro,32.7,Non-state society
The Murngin of Arnhem Land (Hunter-Gatherer),28.6,Non-state society
Dani (Papua New Guinea),28.5,Non-state society
Wari,28,Non-state society
Tribal Montenegro (beginning twentieth century),25,Non-state society
Yanomamo-Shamatari,20.9,Non-state society
Ayoreo (1920-1979) (Hunter-Gatherer),20,Non-state society
Mae Enga,18.6,Non-state society
Xilixana,16,Non-state society
Dugum Dani,15.5,Non-state society
Yanomamo,15,Non-state society
"Modoc, Northern California",13,Non-state society
Huli,13.2,Non-state society
Casiguran Agta (Philippines) (Hunter-Gatherer),12,Non-state society
Anggor,11.9,Non-state society
Gebusi,8.3,Non-state society
Hiwi (Hunter-Gatherer),7.2,Non-state society
Tsimane,6,Non-state society
Tiwi (Hunter-Gatherer),5.75,Non-state society
"Anbara, N. Australia (Hunter-Gatherer)",4,Non-state society
Ancient Mexico,5,State society
"France, 19th Century",3,State society
"Western Europe, 17th Century",2,State society
"U.S. and Europe, 1900-1960",1,State society
"World, 2007 (battle and one-sided violence deaths)",0.04,State society
