Conflict,Century, Casualties
Second World War ,20,66000000
Chinggis Khan ,13,40000000
Mao Zedong ,20,40000000
Famines in British India ,19,27000000
Fall of the Ming Dynasty ,17,25000000
Taiping Rebellion ,19,20000000
Joseph Stalin ,20,20000000
Mideast Slave Trade ,13,18500000
Timur ,14,17000000
Atlantic Slave Trade ,17,16000000
Conquest of the Americas ,15,15000000
First World War ,20,15000000
An Lushan Rebellion ,8,13000000
Xin Dynasty ,1,10000000
Congo Free State ,19,10000000
Russian Civil War ,20,9000000
Thirty Years War ,17,7500000
Fall of the Yuan Dynasty ,14,7500000
Fall of the Western Roman Empire ,5,7000000
Chinese Civil War ,20,7000000
Mahdi Revolt ,19,5500000
The Time of Troubles ,17,5000000
Aurangzeb ,17,4600000
Vietnam War ,20,4200000
The Three Kingdoms of China ,3,4100000
Napoleonic Wars ,19,4000000
Second Congo War ,20,3800000
Gladiatorial Games ,1,3500000
Hundred Years War ,14,3500000
Crusades ,12,3000000
French Wars of Religion ,16,3000000
Peter the Great ,17,3000000
Korean War ,20,3000000
North Korea ,20,3000000
War in the Sudan ,20,2600000
Expulsion of Germans from Eastern Europe ,20,2100000
Fang La Rebellion ,12,2000000
Mengistu Haile ,20,2000000
Democratic Kampuchea ,20,1670000
Age of Warring States ,-3,1500000
Seven Years War ,18,1500000
Shaka ,19,1500000
Bengali Genocide ,20,1500000
Soviet-Afghan War ,20,1500000
Aztec Human Sacrifice ,15,1200000
Qin Shi Huang Di ,-3,1000000
Roman Slave Wars ,2,1000000
Mayan Collapse ,8,1000000
Albigensian Crusade ,13,1000000
Panthay Rebellion ,19,1000000
Mexican Revolution ,20,1000000
Biafran War ,20,1000000
Rwandan Genocide ,20,937000
Burma-Siam Wars ,16,900000
Hulagu’s Invasion ,13,800000
Mozambican Civil War ,20,800000
French Conquest of Algeria ,19,775000
Second Punic War ,-3,770000
Justinian ,6,750000
Italo-Ethiopian War ,20,750000
Gallic War ,1,700000
Chinese Conquest of Vietnam ,15,700000
War of the Spanish Succession ,18,700000
Iran-Iraq War ,20,700000
American Civil War ,19,695000
Hui Rebellion ,19,640000
Goguryeo-Sui Wars ,7,600000
Sino-Dzungar War ,18,600000
Algerian War of Independence ,20,525000
Alexander the Great ,-4,500000
Bahmani-Vijayanagara War ,14,500000
Russo-Tatar War ,16,500000
War of the Austrian Succession ,18,500000
Russo-Turkish War ,19,500000
Partition of India ,20,500000
Angolan Civil War ,20,500000
Ugandan Bush War ,20,500000
Somalian Chaos ,20,500000
War of the Triple Alliance ,19,480000
Franco-Prussian War ,19,435000
First Punic War ,-3,400000
Third Mithridatic War ,-1,400000
Cromwell’s Invasion of Ireland ,17,400000
Mexican War of Independence ,19,400000
Haitian Slave Revolt ,18,400000
Greco-Turkish War ,20,400000
Indonesian Purge ,20,400000
French Indochina War ,20,393000
Great Turkish War ,17,384000
Great Northern War ,18,370000
Spanish Civil War ,20,365000
Postwar Vietnam ,20,365000
Cuban Revolution ,19,360000
Sanctions against Iraq ,20,350000
Roman-Jewish Wars ,2,350000
Second Persian War ,-5,300000
War of the Allies ,-1,300000
Crimean War ,19,300000
Idi Amin ,20,300000
Saddam Hussein ,20,300000
