Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
HRVATSKI TELEKOM D.D.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,3653,841265804,12274045213,6265933192
VIPNET D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,1362,56084658,898969544,3182633718
VIPNET USLUGE D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,72,51994178,358475768,130827093
HEWLETT PACKARD D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,69,36063456,52176975,121008923
MERCURY PROCESSING SERVICES INTERNATIONAL D.O.O.,ZAGREB - TRNJE,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",210,34306192,312734095,255696633
ODAŠILJAČI I VEZE D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,291,31249205,326604784,221542985
MANAS D.O.O.,SPLIT,6201,Računalno programiranje,82,25859632,80779445,49911938
CROZ D.O.O.,ZAGREB,6201,Računalno programiranje,175,25126259,34347696,128712120
KING ICT D.O.O.,ZAGREB,6201,Računalno programiranje,308,23426751,98036621,625785704
COMBIS D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,366,22335226,157072961,644982348
ASSECO SEE D.O.O.,ZAGREB,6201,Računalno programiranje,238,19861055,21684704,167863153
COMPING KOMPJUTORSKI INŽENJERING D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,87,15515029,24617952,206750517
ERSTE GROUP CARD PROCESSOR D.O.O.,ZAGREB,6201,Računalno programiranje,123,14899716,130628037,102028202
SEDAM IT D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,95,14855541,20775530,119589192
TAU ON-LINE D.O.O.,ZAGREB,6201,Računalno programiranje,53,13587552,13947552,35342707
TERMINALNI POSLOVI D.O.O.,ŠKRLJEVO,6201,Računalno programiranje,13,13221674,17841674,21650111
CABALLUS NET D.O.O.,LEĆEVICA/RADOŠIĆ,6120,Djelatnosti bežične telekomunikacije,4,10579197,4902615,20725381
